"AUG'24","","","","","","","","","","","","",""
"","","","","TACTICAL PGM MNTHLY","","","AMPLIFY PGM QTR","","","","","",""
"AIO","HP ENVY All-in-One 34-c1786in PC","6J0W4PA","  157,744 ","  946.46 ","  946.46 ","  473.23 ","  788.72 ","  788.72 ","  394.36 ","0","0","0",""
"AIO","HP ENVY All-in-One 34-c1686in PC","6J0W3PA","  138,814 ","  832.89 ","  832.89 ","  416.44 ","  694.07 ","  694.07 ","  347.04 ","0","0","0",""
"AIO","HP 24-cb1237in AlO  PC","76L90PA","  66,126 ","  396.76 ","  396.76 ","  198.38 ","  330.63 ","  330.63 ","  165.32 ","0","0","0",""
"AIO","HP AIO 24-cb1907in  PC","79U84PA","  55,531 ","  333.18 ","  333.18 ","  166.59 ","  277.65 ","  277.65 ","  138.83 ","  5,085 ","  5,085 ","  4,661 ",""
"AIO","HP AIO 22- dd2456in PC","68U88PA","  40,576 ","  243.46 ","  243.46 ","  121.73 ","  202.88 ","  202.88 ","  101.44 ","0","0","0",""
"AIO","HP AlO 22-dd0786in PC","6F964PA","  32,723 ","  196.34 ","  196.34 ","  98.17 ","  163.61 ","  163.61 ","  81.81 ","0","0","0",""
"AIO","HP AIO  24-ck0550in  PC","65F46PA","  42,775 ","  256.65 ","  256.65 ","  128.33 ","  213.88 ","  213.88 ","  106.94 ","0","0","0",""
"AIO","HP AIO 27-cb1345in PC","689Q6PA","  43,308 ","  259.85 ","  259.85 ","  129.92 ","  216.54 ","  216.54 ","  108.27 ","0","0","0",""
"AIO","HP AIO  27-cb1153in PC","7N5D6PA","  41,113 ","  246.68 ","  246.68 ","  123.34 ","  205.57 ","  205.57 ","  102.78 ","0","0","0",""
"AIO","HP AIO 24-cb1802in PC","7H0Y7PA","  41,866 ","  251.20 ","  251.20 ","  125.60 ","0","0","0","0","0","0",""
"AIO","HP AIO  22-dd2986in PC","6F967PA","  27,310 ","  163.86 ","  163.86 ","  81.93 ","  136.55 ","  136.55 ","  68.28 ","0","0","0",""
"AIO","HP Pav AiO 32-b1901in PC","7P2C5PA","  105,344 ","  632.06 ","  632.06 ","  316.03 ","  526.72 ","  526.72 ","  263.36 ","0","0","0",""
"AIO","HP Pav 27-ca2113in AiO PC","7L856PA","  81,934 ","  491.60 ","  491.60 ","  245.80 ","  409.67 ","  409.67 ","  204.84 ","0","0","0",""
"AIO","HP AIO PAV 22-AA0234IN ","528H6PA","  20,318 ","  121.91 ","  121.91 ","  60.95 ","  101.59 ","  101.59 ","  50.79 ","0","0","0",""
"AIO","HP AIO 24-DF1227IN","7Z3Q2PA","  41,948 ","  251.69 ","  251.69 ","  125.84 ","  209.74 ","  209.74 ","  104.87 ","0","0","0",""
"AIO","HP AIO 22-DD0480IN (6P005PA#ACJ)","6P005PA","  35,114 ","  210.68 ","  210.68 ","  105.34 ","  175.57 ","  175.57 ","  87.79 ","0","0","0",""
"AIO","HP AIO 27-CR0445IN (948K2PA#ACJ)","948K2PA","  50,721 ","  304.33 ","  304.33 ","  152.16 ","  253.61 ","  253.61 ","  126.80 ","  3,814 ","  2,966 ","  2,119 ",""
"AIO","HP 24-CB1701 INDIA","983N6PA","  42,704 ","  256.22 ","  256.22 ","  128.11 ","0","0","0","0","0","0",""
"AIO","22-dd2088in","92F54PA","  24,104 ","  144.62 ","  144.62 ","  72.31 ","  120.52 ","  120.52 ","  60.26 ","0","0","0",""
"AIO","DT AIO 22-dd2071in-SnowWhite","9T680PA","  36,588 ","  219.53 ","  219.53 ","  109.77 ","  182.94 ","  182.94 ","  91.47 ","0","0","0",""
"AIO","24-cr0410in PC","957L8PA","  67,021 ","  402.13 ","  402.13 ","  201.06 ","  335.11 ","  335.11 ","  167.55 ","0","0","0",""
"AIO","HP ALL-IN-ONE 27-CR0345IN INDIA","9Q932PA","  47,513 ","  285.08 ","  285.08 ","  142.54 ","  237.56 ","  237.56 ","  118.78 ","  5,932 ","  5,932 ","  5,508 ",""
"AIO","DT AIO 27-cr1026in-Shell White-Pavilion","A47CKPA","  59,218 ","  355.31 ","  355.31 ","  177.65 ","  296.09 ","  296.09 ","  148.04 ","0","0","0",""
"AIO","22-dg0786in","9T9X1PA","  34,247 ","  205.48 ","  205.48 ","  102.74 ","  171.24 ","  171.24 ","  85.62 ","  1,695 ","  1,695 ","  847 ",""
"AIO","24-cr0051in PC","A28HYPA","  54,536 ","  327.22 ","  327.22 ","  163.61 ","  272.68 ","  272.68 ","  136.34 ","0","0","0",""
"AIO","HP AIO  27-cr0403in PC","87G01PA","  81,067 ","  486.40 ","  486.40 ","  243.20 ","  405.34 ","  405.34 ","  202.67 ","  11,864 ","  12,712 ","  12,712 ",""
"AIO","HP AIO  27-cr0407in PC","889G9PA","  67,802 ","  406.81 ","  406.81 ","  203.40 ","  339.01 ","  339.01 ","  169.50 ","  9,322 ","  10,169 ","  8,475 ",""
"AIO","22-DG0153IN/N100/8/512/W+O/W/AIO","9U108PA","  28,005 ","  168.03 ","  168.03 ","  84.02 ","  140.03 ","  140.03 ","  70.01 ","  1,695 ","  1,695 ","  847 ",""
"AIO","HP AIO  24-df1229in PC","83L30PA","  45,309 ","  271.85 ","  271.85 ","  135.93 ","  226.55 ","  226.55 ","  113.27 ","0","0","0",""
"AIO","27-cr1007in","A45Q8PA","  75,605 ","  453.63 ","  453.63 ","  226.81 ","  378.02 ","  378.02 ","  189.01 ","0","0","0",""
"AIO","HP AIO 24-CS0047IN (9R4N9PA#ACJ)","9R4N9PA","  101,356 ","  608.14 ","  608.14 ","  304.07 ","  506.78 ","  506.78 ","  253.39 ","0","0","0",""
"AIO","DT AIO 24 - cb1910in ","B17C6PA","  49,418 ","  296.51 ","  296.51 ","  148.25 ","  247.09 ","  247.09 ","  123.54 ","0","0","0",""
"AIO","24-CR0477IN/I5-1334U/8/512/W11/SW/AIO","B6NV1PA","  53,613 ","  321.68 ","  321.68 ","  160.84 ","  268.07 ","  268.07 ","  134.03 ","0","0","0",""
"AIO","HP AiO  22-dd0304in","84J08PA","  32,773 ","  196.64 ","  196.64 ","  98.32 ","  163.87 ","  163.87 ","  81.93 ","0","0","0",""
"TWR","HP  S01-pF2467in PC","67B32PA","27269","  163.61 ","  163.61 ","  763.53 ","  136.34 ","  136.34 ","  68.17 ","0","0","0",""
"TWR","HP DT SLIM S01-PF2009IN","5R814PA","40625","  243.75 ","  243.75 ","  1,137.50 ","  203.13 ","  203.13 ","  101.56 ","0","0","0",""
"TWR","HP  S01-pF2368in PC","682A5PA","25590","  153.54 ","  153.54 ","  716.52 ","  127.95 ","  127.95 ","  63.98 ","0","0","0",""
"TWR","HP DT SLIM S01-PF2667IN","67B15PA ","38596","  231.58 ","  231.58 ","  1,080.69 ","  192.98 ","  192.98 ","  96.49 ","0","0","0",""
"TWR","HP  M01-F2791in PC","6J0P6PA","  56,135 ","  336.81 ","  336.81 ","  1,571.78 ","0","0","0","0","0","0",""
"TWR","HP M01-F2689in PC","6J0P5PA","43631","  261.78 ","  261.78 ","  1,221.66 ","0","0","0","0","0","0",""
"TWR","HP S01-pF2369in ","6H1U3PA","41953","  251.72 ","  251.72 ","  1,174.68 ","0","0","0","0","0","0",""
"TWR","HP  M01-F2389in PC","6J0Y9PA","32303","  193.82 ","  193.82 ","  904.48 ","0","0","0","0","0","0",""
"TWR","HP  S01-pF2889in PC","6H1X2PA","31380","  188.28 ","  188.28 ","  878.65 ","0","0","0","0","0","0",""
"TWR","HP  S01-pF2789in PC","6H1X1PA","28527","  171.16 ","  171.16 ","  798.76 ","  142.64 ","  142.64 ","  71.32 ","0","0","0",""
"TWR","HP S01-aF0786in PC","686L6PA","22906","  137.43 ","  137.43 ","  641.36 ","  114.53 ","  114.53 ","  57.26 ","0","0","0",""
"TWR","S01-aF2207in","6G675PA","18878","  113.27 ","  113.27 ","  528.58 ","  94.39 ","  94.39 ","  47.20 ","0","0","0",""
"TWR","HP DT SLIM S01-PF1909IN","3Y8D3PA","46999","  281.99 ","  281.99 ","  1,315.97 ","  235.00 ","  235.00 ","  117.50 ","0","0","0",""
"TWR","HP DT SLIM S01-PF2445IN","5R7R9PA","24751","  148.51 ","  148.51 ","  693.03 ","  123.76 ","  123.76 ","  61.88 ","0","0","0",""
"TWR","HP S01-pF2888in PC","7K5W2PA","  30,179 ","  181.07 ","  181.07 ","  845.00 ","0","0","0","0","0","0",""
"TWR","HP S01-pF2123in PC","7J4Y1PA","  41,506 ","  249.04 ","  249.04 ","  1,162.17 ","0","0","0","0","0","0",""
"TWR","HP  M01-F3787in PC","84H53PA","60324","  361.94 ","  361.94 ","  1,689.08 ","0","0","0","0","0","0",""
"TWR","HP S01-pF2001in PC","7J1S5PA","32300","  193.80 ","  193.80 ","  904.40 ","0","0","0","0","0","0",""
"TWR","HP  S01-pF2201il PC","7P0W4PA","  26,849 ","  161.09 ","  161.09 ","  751.77 ","0","0","0","0","0","0",""
"TWR","HP  M01-F3486in PC","7N6V0PA","26849","  161.09 ","  161.09 ","  751.77 ","  134.25 ","  134.25 ","  67.12 ","0","0","0",""
"TWR","HP  S01-pF3235in PC","7K3Z3PA","46900","  281.40 ","  281.40 ","  1,313.19 ","0","0","0","0","0","0",""
"TWR","DT S01- pF3234in - Slimline - HP","7J9W4PA","33056","  198.34 ","  198.34 ","  925.57 ","0","0","0","0","0","0",""
"TWR","DT M01-F3201in-Pavilion-HP","7Q8Q8PA","26762","  160.57 ","  160.57 ","  749.34 ","  133.81 ","  133.81 ","  66.91 ","0","0","0",""
"TWR","DT S01-aF2024in-Slimline","977P0PA","19298","  115.79 ","  115.79 ","  540.34 ","0","0","0","0","0","0",""
"TWR","DT S01-pF2048in-Slimline","9T8L0PA","28920","  173.52 ","  173.52 ","  809.76 ","0","0","0","0","0","0",""
"TWR","HP DT M01-F2237IN (67B64PA#ACJ)","67B64PA","44050","  264.30 ","  264.30 ","  1,233.40 ","  220.25 ","  220.25 ","  110.13 ","0","0","0",""
"TWR","DT GT15-1107in-OmenGamingPC","7K3S7PA","98954","  593.72 ","  593.72 ","  2,770.70 ","  494.77 ","  494.77 ","  247.38 ","0","0","0",""
"TWR","DT GT22-1214in-OmenGamingPC","7J2M3PA","286905","  1,721.43 ","  1,721.43 ","  8,033.33 ","  1,434.52 ","  1,434.52 ","  717.26 ","0","0","0",""
"TWR","S01-aF2027in PC","9T681PA","19211","  115.27 ","  115.27 ","  537.91 ","0","0","0","0","0","0",""
"TWR","S01-pF2082in PC","A05H9PA","36472","  218.83 ","  218.83 ","  1,021.22 ","0","0","0","0","0","0",""
"TWR","DT S01 - pF3077in - Slimline - HP","B6QA8PA","34401","  206.41 ","  206.41 ","  963.23 ","  172.01 ","  172.01 ","  86.00 ","0","0","0",""
"TWR","DT S01 - pF3078in - Slimline - HP","B6QA9PA","44470","  266.82 ","  266.82 ","  1,245.15 ","  222.35 ","  222.35 ","  111.17 ","0","0","0",""
